snapshot_date,total_value_pln,cash_pln,invested_pln,open_positions,exposure_pct
2022-10-04,1140327.98,1071902.51,68425.47,2,6.0005078538895456
2022-10-05,1140276.67,1037641.27,102635.39,3,9.000919925863256
2022-10-06,1140225.35,1003381.67,136843.68,4,12.001459185239128
2022-10-07,1140293.65,1037661.33,102632.32,3,9.000516665159015
2022-10-10,1138868.23,1104654.12,34214.11,1,3.0042202511874443
2022-10-11,1138868.23,1104654.12,34214.11,1,3.0042202511874443
2022-10-12,1138868.23,1104654.12,34214.11,1,3.0042202511874443
2022-10-13,1139344.99,1139344.99,0.0,0,0.0
2022-10-14,1139293.72,1105113.36,34180.35,1,3.000135031026064
2022-10-17,1139293.72,1105113.36,34180.35,1,3.000135031026064
2022-10-18,1139293.72,1105113.36,34180.35,1,3.000135031026064
2022-10-19,1139293.72,1105113.36,34180.35,1,3.000135031026064
2022-10-20,1139139.91,1002423.15,136716.76,4,12.001753147249492
2022-10-21,1139139.91,1002423.15,136716.76,4,12.001753147249492
2022-10-24,1139088.65,968197.71,170890.94,5,15.002426720694656
2022-10-25,1139088.65,968197.71,170890.94,5,15.002426720694656
2022-10-26,1139088.65,968197.71,170890.94,5,15.002426720694656
2022-10-27,1139092.06,1002379.89,136712.18,4,12.001855231964305
2022-10-28,1145101.08,1008402.52,136698.56,4,11.937685012051512
2022-10-31,1145101.08,1008402.52,136698.56,4,11.937685012051512
2022-11-01,1144770.51,1008071.95,136698.56,4,11.941132201247916
2022-11-02,1144719.0,973677.3,171041.7,5,14.941806679193759
2022-11-03,1146949.4,941403.35,205546.05,6,17.921108812646835
2022-11-04,1146949.4,941403.35,205546.05,6,17.921108812646835
2022-11-07,1149423.67,943643.27,205780.4,6,17.902919991198722
2022-11-08,1149423.67,943643.27,205780.4,6,17.902919991198722
2022-11-09,1150075.44,978636.61,171438.83,5,14.906746465257967
2022-11-10,1150075.44,978636.61,171438.83,5,14.906746465257967
2022-11-11,1152201.15,1117792.63,34408.53,1,2.9863301212639826
2022-11-14,1152149.3,1083174.82,68974.49,2,5.986593056993569
2022-11-15,1152097.46,1048558.52,103538.93,3,8.986994034341505
2022-11-16,1152045.61,1013943.81,138101.8,4,11.98752886181303
2022-11-17,1151993.77,979330.6,172663.17,5,14.988203451829433
2022-11-18,1151993.77,979330.6,172663.17,5,14.988203451829433
2022-11-21,1154189.27,981374.9,172814.37,5,14.972792980478841
2022-11-22,1154189.27,981374.9,172814.37,5,14.972792980478841
2022-11-23,1154189.27,981374.9,172814.37,5,14.972792980478841
2022-11-24,1154189.27,981374.9,172814.37,5,14.972792980478841
2022-11-25,1154189.27,981374.9,172814.37,5,14.972792980478841
2022-11-28,1154189.27,981374.9,172814.37,5,14.972792980478841
2022-11-29,1155322.47,982448.43,172874.04,5,14.96327168292676
2022-11-30,1154829.44,1016519.85,138309.59,4,11.976624877176668
2022-12-01,1156908.28,949226.97,207681.32,6,17.9514075221244
2022-12-02,1159507.35,986387.4,173119.95,5,14.930474567496274
2022-12-05,1159507.35,986387.4,173119.95,5,14.930474567496274
2022-12-06,1160236.49,1021676.27,138560.22,4,11.94241184398536
2022-12-07,1158211.39,1054296.06,103915.34,3,8.972053020476686
2022-12-08,1158211.39,1054296.06,103915.34,3,8.972053020476686
2022-12-09,1158211.39,1054296.06,103915.34,3,8.972053020476686
2022-12-12,1158159.27,1019497.6,138661.67,4,11.972590781922422
2022-12-13,1158972.83,1020192.02,138780.81,4,11.974466217642046
2022-12-14,1158764.22,880906.55,277857.67,8,23.978792683122368
2022-12-15,1155625.84,981833.4,173792.45,5,15.038816542904579
2022-12-16,1154522.7,1015577.02,138945.68,4,12.034902388666763
2022-12-19,1154107.07,738075.86,416031.21,12,36.047886787488444
2022-12-20,1154107.07,738075.86,416031.21,12,36.047886787488444
2022-12-21,1154107.07,738075.86,416031.21,12,36.047886787488444
2022-12-22,1154176.28,772813.84,381362.44,11,33.04195785413299
2022-12-23,1154176.28,772813.84,381362.44,11,33.04195785413299
2022-12-26,1154176.28,772813.84,381362.44,11,33.04195785413299
2022-12-27,1154020.46,668782.2,485238.26,14,42.04763059400178
2022-12-28,1154155.01,703661.51,450493.5,13,39.032322010195145
2022-12-29,1154116.7,738392.38,415724.32,12,36.02099510387468
2022-12-30,1154511.16,738926.32,415584.84,12,35.996606563768516
2023-01-02,1154511.16,738926.32,415584.84,12,35.996606563768516
2023-01-03,1154511.16,738926.32,415584.84,12,35.996606563768516
2023-01-04,1154532.86,1016033.55,138499.31,4,11.99613409011156
2023-01-05,1154325.04,877281.78,277043.26,8,24.000454845889855
2023-01-06,1152541.1,806238.34,346302.76,10,30.0468903017862
2023-01-09,1150962.5,631838.43,519124.07,15,45.103473831684354
2023-01-10,1147264.15,697292.5,449971.65,13,39.22127698316034
2023-01-11,1149006.69,699657.07,449349.63,13,39.10766002589593
2023-01-12,1148954.99,665135.21,483819.77,14,42.10954947852222
2023-01-13,1148903.28,630614.88,518288.4,15,45.11157806077462
2023-01-16,1148903.28,630614.88,518288.4,15,45.11157806077462
2023-01-17,1149578.94,665914.02,483664.92,14,42.07322378400565
2023-01-18,1148016.98,699130.39,448886.59,13,39.101040996797806
2023-01-19,1146147.34,801291.59,344855.75,10,30.088256366759964
2023-01-20,1143116.02,798379.51,344736.5,10,30.157612523005316
2023-01-23,1144904.1,663329.9,481574.2,14,42.062405052091265
2023-01-24,1145325.57,492474.0,652851.56,19,57.00139568175362
2023-01-25,1144899.23,423328.1,721571.13,21,63.024859401818276
2023-01-26,1150191.61,463202.75,686988.86,20,59.72820998059618
2023-01-27,1148489.55,461304.8,687184.75,20,59.83378342449872
2023-01-30,1149482.16,496630.42,652851.74,19,56.79529119442793
2023-01-31,1147548.51,528943.84,618604.66,18,53.906623956141075
2023-02-01,1154247.67,569857.11,584390.56,17,50.629563757317364
2023-02-02,1155843.83,709133.74,446710.09,13,38.64796250199302
2023-02-03,1162292.84,437009.77,725283.07,21,62.40106150873302
2023-02-06,1163047.44,609081.7,553965.74,16,47.630536893662736
2023-02-07,1166627.36,715703.01,450924.35,13,38.651960811205385
2023-02-08,1172464.14,754937.05,417527.09,12,35.61107549097408
2023-02-09,1172464.14,754937.05,417527.09,12,35.61107549097408
2023-02-10,1168043.03,818869.25,349173.78,10,29.89391409664077
2023-02-13,1167832.78,678493.84,489338.93,14,41.90145527512937
2023-02-14,1167452.92,712737.35,454715.57,13,38.9493710804201
2023-02-15,1167452.92,712737.35,454715.57,13,38.9493710804201
2023-02-16,1167400.39,677661.23,489739.16,14,41.95125889927105
2023-02-17,1166790.93,782118.07,384672.86,11,32.96844791208653
2023-02-20,1166790.93,782118.07,384672.86,11,32.96844791208653
2023-02-21,1159519.23,844351.48,315167.75,9,27.180898931706377
2023-02-22,1153175.6,908254.86,244920.73,7,21.238806128051962
2023-02-23,1153123.7,873607.69,279516.01,8,24.23989811327267
2023-02-24,1151580.02,803286.57,348293.44,10,30.244831792062527
2023-02-27,1151528.19,768687.37,382840.83,11,33.24632721323132
2023-02-28,1152506.75,840244.05,312262.7,9,27.094218754033328
2023-03-01,1152403.03,770989.94,381413.09,11,33.09719603913225
2023-03-02,1146257.68,799891.58,346366.09,10,30.217122732822173
2023-03-03,1146051.35,662134.3,483917.05,14,42.22472666691593
2023-03-06,1145845.06,524401.79,621443.27,18,54.23449397250969
2023-03-07,1144695.67,558426.55,586269.12,17,51.21615599367123
2023-03-08,1145668.49,628760.16,516908.33,15,45.118490602809544
2023-03-09,1140519.73,693031.68,447488.05,13,39.235450139911215
2023-03-10,1127157.87,989796.74,137361.13,4,12.18650320917335
2023-03-13,1125552.87,955350.91,170201.97,5,15.121632624862835
2023-03-14,1125400.92,853899.2,271501.73,8,24.12488964377246
2023-03-15,1123758.28,751023.12,372735.16,11,33.16862412795748
2023-03-16,1123556.0,615969.86,507586.14,15,45.176754874701395
2023-03-17,1124031.7,516061.9,607969.8,18,54.08831441319671
